,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34
i1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i5,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i7,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i9,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i10,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i11,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i13,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
i14,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
i15,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
i16,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i17,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i18,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i19,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i20,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
i21,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
i22,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
i23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i24,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i25,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i26,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i28,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i29,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i30,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i31,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i32,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i33,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i34,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
