,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34
j1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j4,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j5,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j7,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j9,2,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j10,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j11,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j12,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j13,2,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
j14,2,1,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
j15,2,1,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
j16,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j17,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j18,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j19,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j20,2,1,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
j21,2,1,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
j22,2,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
j23,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j24,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j25,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j26,2,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j27,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j28,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j29,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j30,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j31,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j32,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j33,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j34,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
