,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34
i1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i4,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i5,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i7,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i9,2,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i10,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i11,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i12,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i13,2,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
i14,2,1,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
i15,2,1,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
i16,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i17,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i18,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i19,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i20,2,1,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
i21,2,1,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
i22,2,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
i23,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i24,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i25,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i26,2,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i27,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i28,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i29,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i30,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i31,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i32,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i33,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i34,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
